Nk,rep,seed,N_vertices,nn_mean,nn_std,CV,hull_vol,time_s
50000,33,412378,694,0.191004581849768,0.196282826471947,1.02763412568988,221.313599957651,0.0350180416666667
50000,34,412379,660,0.193743123664695,0.186403840061205,0.962118482118663,221.270604457988,0.035204125
50000,35,412380,644,0.218639956584277,0.200977147665501,0.919215091355146,221.962545469479,0.0356447083333333
50000,36,412381,692,0.183179176906006,0.177737342917038,0.970292289326315,221.654192534916,0.03509225
50000,37,412382,676,0.195310629541382,0.189557272898649,0.970542531882454,222.36172667361,0.0348207916666667
50000,38,412383,736,0.194812536383155,0.201608036633087,1.0348822533503,221.623380419713,0.0357954166666667
50000,39,412384,650,0.208729550238243,0.206599738908423,0.989796311411638,222.076901175458,0.0350433333333333
50000,40,412385,708,0.18313225235132,0.179606733464328,0.980748782141179,222.699755804207,0.0360669166666667
50000,41,412386,680,0.20533082595849,0.193909251787038,0.944374771210624,221.321428563836,0.034813875
50000,42,412387,674,0.194318863840683,0.194559998224861,1.00124092113041,220.244192018068,0.034425375
50000,43,412388,720,0.197685939825705,0.196728155058642,0.99515501826833,223.616860148696,0.0349324166666667
50000,44,412389,678,0.199296560862344,0.175495817082176,0.880576244380819,224.474044912123,0.0350755833333333
50000,45,412390,740,0.195396396301548,0.191208726316436,0.9785683356276,223.260213434411,0.0351922916666667
50000,46,412391,712,0.188348085950256,0.190967967836687,1.01390978768493,219.785951238554,0.0354179166666667
50000,47,412392,672,0.181845172342069,0.194208884201795,1.06799032220921,221.080341835478,0.0349228333333333
50000,48,412393,646,0.195591013996432,0.198095865736859,1.01280657883635,221.134639161363,0.0343749166666667
50000,49,412394,696,0.196334393138883,0.190810034406541,0.971862501296787,223.918395321818,0.0347340833333333
50000,50,412395,632,0.225451521008208,0.218040201531297,0.967126771007052,221.945553315454,0.034432
